#,IP,Category,Low,High,,,,,,,
1,Submission ID,,,,,,,,,,
2,Submission Date,,,,,,,,,,
3,What is the name of your business?,,,,,,,,,,
4,Street Address,,,,,,,,,,
5,Street Address Line 2,,,,,,,,,,
6,City,,,,,,,,,,
7,State / Province,,,,,,,,,,
8,Postal / Zip Code,,,,,,,,,,
9,Country,,,,,,,,,,
10,What is the phone number for your business?,,,,,,,,,,
11,What is the website address for your business?,,,,,,,,,,
12,When did you first start your business?,,,,,,,,,,
13,What type of business do you have?,,,,,,,,,,
14,What is the legal status of your business?,,,,,,,,,,
15,Is this a new start up or an established business?,,,,,,,,,,
16,Who is the primary contact?,,,,,,,,,,
17,What is the best phone number for the primary contact?,,,,,,,,,,
18,What is the email for the primary contact?,,,,,,,,,,
,Section 2 Business Preparation,,,,,,,,,,
19,Do you currently have a Vision Statement for your business?,Yes/No,0,2,,,,,,,
20,Do you currently have a Mission Statement for your business?,Yes/No,0,2,,,,,,,
21,Have you created a Business Model for your business?,Yes/No,0,2,,,,,,,
22,Have you created a Financial Model for your business?,Yes/No,0,2,,,,,,,
23,Have you created a Product/Service Pricing Model for your business?,Yes/No,1,2,,,,,,,
24,Have you created a Go-To-Market Strategy for your business,Yes/No,0,2,,,,,,,
25,Have you created a One-Page Investor Summary for your business,Yes/No,1,2,,,,,,,
26,Have you created a Private Placement memorandum (PPM) for your business,Yes/No,0,2,,,,,,,
27,Have you created a Forward Looking (Save Harbor) Statement for your business,Yes/No,0,2,,,,,,,
28,Is your business currently generating revenue?,Yes/No,0,2,,,,,,,
29,"If not, how long do you predict it will take to get there?",Single,0,3,,,,,,,
30,What are some of the key problems you see with your business right now? (Select all that apply),Multiple,-3.25,0,,,,,,,
31,End of 2 Summary,Totals,-1.25,23,,,,,,,
,Section 3 - Ownership Structure,,,,,,,,,,
32,Are you the sole owner of your business?,Yes/No,1,2,,,,,,,
33,Is there someone else you need to get approval from to make business decisions?,Yes/No,1,2,,,,,,,
